id,display_name,about_me,age,creation_date,last_access_date,location,reputation,up_votes,down_votes,views,profile_image_url,website_url
426,bugmagnet,"<p>Software Engineer. Over 20 years experience in programming and user-support.<br /><br />
Working full-time for <a href=""https://www.facebook.com/pages/Fortescue-Technologies/109561919137020"" rel=""nofollow noreferrer"">Fortescue Technologies</a> and consulting for <a href=""https://searchsmart.com.au"" rel=""nofollow noreferrer"">SearchSmart</a>. <br /><br />Research assistant / librarian for, and contributor to, the <a href=""http://hopl.info"" rel=""nofollow noreferrer"">History of Programming Languages (HOPL)</a>. </p>",,2008-08-05 15:31:51.537 UTC,2019-08-29 07:29:40.933 UTC,Australia,4406,958,9,1970,https://i.stack.imgur.com/IOSXQ.jpg,http://codeaholic.blogspot.com
740,SQLMenace,"<p>SQL Server MVP(2008 - 2014), Database architect
<br><br>
<a href=""http://sqlservercode.blogspot.com/"" rel=""nofollow"">SQL Server Blog</a><br>
<a href=""http://denisgobo.blogspot.com/"" rel=""nofollow"">Personal Blog</a><br>
<a href=""http://www.linkedin.com/in/denisgobo"" rel=""nofollow"">Linkedin</a><br></p>",,2008-08-08 13:23:40.507 UTC,2017-04-05 16:34:25.153 UTC,"Princeton, NJ",115165,548,53,8363,,http://sqlservercode.blogspot.com/
1220,DevelopingChris,<p>I'm a software developer mainly doing web based applications.</p>,,2008-08-13 13:44:48.200 UTC,2019-08-30 18:19:31.110 UTC,"Columbus, OH",21222,772,124,1950,,http://www.developingchris.com
1242,Lars Truijens,"<p>I am an old time Delphi developer now doing C# .Net WPF. I also enjoy doing PowerShell.  </p>

<p>Projects:</p>

<ul>
<li><a href=""http://powershellgac.codeplex.com"" rel=""nofollow"">http://powershellgac.codeplex.com</a></li>
<li><a href=""http://googleauthcsharp.codeplex.com"" rel=""nofollow"">http://googleauthcsharp.codeplex.com</a></li>
</ul>",,2008-08-13 17:33:46.973 UTC,2019-08-30 19:27:54.913 UTC,Netherlands,38383,4146,183,2233,,http://stackoverflow.com/users/1242
1667,gbc,"I own a company that produces motor control equipment that is used in live theatre.  I have a fine arts degree and no formal development training.  I make up for quality of code with quantity, just like the old sailor adage ""If you can't tie a knot, tie a lot.""",,2008-08-17 21:31:02.127 UTC,2018-12-03 01:16:42.673 UTC,United States,6277,401,0,279,,http://www.creativeconners.com
1914,Ellen Teapot,,,2008-08-19 14:10:15.447 UTC,2019-05-23 21:14:32.733 UTC,,998,1052,27,228,,https://asmallteapot.github.io
2470,Jason Z,<p>I work as a .NET developer</p>,,2008-08-22 12:42:38.697 UTC,2019-08-31 02:05:54.207 UTC,United States,7409,865,4,561,,
2976,paan,"<p>*Never get old eh?  <br />
**NOPE  <br />
*It's kindda makes you wanna..  <br />
**Break into song?  <br />
*YUP  <br />
<br />
I love the badges, I love reputation,  <br />
I love to upvote, I love to mark offensive  <br />
I love stackoverflow! And all its messed up folks...  <br />
Boom de yada... Boom de yada...  <br /></p>",,2008-08-26 09:42:25.787 UTC,2015-10-10 23:32:21.517 UTC,"Kuala Lumpur, Malaysia",4158,129,38,388,,http://thetechmind.com
3111,jwarzech,"<p>Former C# and Ruby developer, curious about all technologies/platforms.</p>",,2008-08-26 17:47:14.343 UTC,2018-04-19 15:20:02.760 UTC,"Kansas City, MO, USA",3523,1182,14,491,,
3892,Steve Steiner,,,2008-08-31 17:59:08.380 UTC,2018-09-04 23:41:19.600 UTC,United States,4209,127,9,409,,
3897,robsoft,"<p><a href=""http://twitter.com/#!/robuttley"" rel=""nofollow noreferrer"">Twitter Link</a>
I'm a Delphi and C# developer, going back to Turbo Pascal 5.5, TPW and BP/O7. Currently working with Xamarin, Winforms and some WPF. I do a reasonable amount of SQL Server (mostly schema design, sprocs and T-SQL utilities) and maintain some legacy apps that use Firebird, Interbase and MySQL.<br>&nbsp;<br>
<br>
I develop bespoke software - I run my <a href=""http://www.robsoft.net"" rel=""nofollow noreferrer"">own small company</a>, mostly writing point-of-sale systems for the financial services and high-street finance type markets.<br>&nbsp;<br>
In my downtime I explore my Mac (I switched a few years ago, now I do all my work in VMs on the Mac), and I have a 4-year-old daughter who is the other 'apple of my eye'.<br>&nbsp;<br></p>",,2008-08-31 18:44:05.820 UTC,2019-08-24 08:02:14.423 UTC,"Chester, United Kingdom",4450,706,9,1362,,http://www.robsoft.net
4591,Simon Steele,"<p>Lead developer on Programmer's Notepad, for my day job I write software for Google.</p>",,2008-09-04 18:57:54.477 UTC,2019-06-25 19:04:51.870 UTC,United Kingdom,10522,1023,33,979,,http://untidy.net/blog/
5182,Edward Wilde,c# developer based in London UK.,,2008-09-08 11:20:40.233 UTC,2019-08-28 06:04:16.127 UTC,United Kingdom,12831,393,15,816,,http://blogs.edwardwilde.com/
5464,Brad,"<p>College student in computer engineering, do a little bit of web programming too.</p>",,2008-09-09 20:26:13.033 UTC,2018-09-07 21:37:27.220 UTC,"Ann Arbor, MI",3350,142,6,172,,http://www.bradcampbell.com
5551,Flory,"When I was young I liked to tear things apart to figure out how they work.  I frequently was unable to figure it how to get them back together.  I think that sums up my career as a software developer fairly well.

I have a wife and two boys and live in a place with a football team I hate but family that I love.

I am generally interested in how to build software better.",,2008-09-10 13:22:28.490 UTC,2018-08-25 11:41:37.207 UTC,United States,2411,117,10,232,,http://geekswithblogs.net/mlflory
5630,Zac,"<p>I like boulders, beers, and computers.</p>",,2008-09-10 15:13:28.253 UTC,2019-08-30 20:49:41.100 UTC,"Utica, NY",866,105,4,109,,http://wasielewski.org
5760,Valentin Galea,,,2008-09-11 09:41:53.673 UTC,2019-08-26 11:25:05.807 UTC,,853,77,7,266,https://www.gravatar.com/avatar/62c87be888807290314b567db946d4da?s=256&d=identicon&r=PG,
6218,djsnowsill,,,2008-09-13 00:19:50.357 UTC,2019-04-10 06:14:47.707 UTC,Australia,972,81,0,70,,http://www.calibreft.com.au
6315,TomG,,,2008-09-14 01:27:59.937 UTC,2019-08-13 21:32:10.087 UTC,,1558,82,0,114,,
6328,strider24,<p>A CS Student.</p>,,2008-09-14 07:07:03.210 UTC,2017-05-04 09:11:48.130 UTC,"Bangalore, India",810,82,8,242,https://www.gravatar.com/avatar/?s=128&d=identicon&r=PG&f=1,
7735,Harriv,,,2008-09-15 14:19:12.100 UTC,2019-08-26 10:23:17.037 UTC,Finland,4491,1110,13,428,,
8061,Steve Landey,"<p>Please visit my web site. I do not update this about box.</p>

<p>I haven't done much on this site since about 2009, but I got in early so I have a lot of imaginary internet points.</p>",,2008-09-15 15:04:40.433 UTC,2019-08-28 23:34:33.050 UTC,"San Francisco, CA, United States",2352,217,55,628,https://i.stack.imgur.com/WNIP4.jpg?s=128&g=1,http://www.steveasleep.com/
8279,Marc-André Lafortune,"<p>♥ Ruby ♥ Javascript ♥</p>

<p>
I'm a committer on:
<ul><li><a href=""https://www.ruby-lang.org/"" rel=""nofollow noreferrer"">Ruby</a></li>
<li><a href=""http://https://github.com/deep-cover/deep-cover"" rel=""nofollow noreferrer"">DeepCover</a></li>
<li><a href=""http://parsleyjs.org/"" rel=""nofollow noreferrer"">Parsley.js</a></li>
<li><a href=""http://noelboss.github.io/featherlight/"" rel=""nofollow noreferrer"">Featherlight.js</a></li>
</ul>
</p>

<p>Don't be surprised if I refer to my <a href=""http://github.com/marcandre/backports"" rel=""nofollow noreferrer"">extensive list of polyfills</a> that makes it easier to write Ruby code for different versions of Ruby.</p>

<p>My blog: <a href=""http://blog.marc-andre.ca"" rel=""nofollow noreferrer""># Hash</a></p>",,2008-09-15 15:36:55.223 UTC,2019-08-28 08:06:03.217 UTC,"Montreal, Canada",64839,1118,224,7480,,http://www.marc-andre.ca
9549,Mike Pond,,,2008-09-15 19:09:10.423 UTC,2019-08-29 01:26:33.200 UTC,United States,113,21,0,44,,
10251,Dave,,,2008-09-15 21:56:26.603 UTC,2008-09-19 05:32:06.497 UTC,,78,0,0,29,,
10289,Jiayao Yu,,,2008-09-15 22:11:12.293 UTC,2013-08-12 03:31:49.030 UTC,"London, United Kingdom",698,41,0,113,,
10536,user10536,,,2008-09-15 23:49:15.977 UTC,2010-07-15 05:48:06.687 UTC,,51,0,0,24,,
11078,Jason Wadsworth,,,2008-09-16 04:38:12.270 UTC,2019-03-31 13:59:28.083 UTC,"Boston, MA",777,60,5,107,,http://subakva.com
11082,gsmendoza,,,2008-09-16 04:41:37.300 UTC,2009-03-06 07:14:39.643 UTC,Philippines,215,2,0,26,,http://www.georgemendoza.name
11188,Ren,,,2008-09-16 05:59:44.197 UTC,2008-09-18 22:54:30.637 UTC,,37,4,0,27,,
12275,jdmichal,"<p>To use the sentiments of Jimmy Buffett:</p>

<p>Old-school hacker, 20 years too late.</p>",,2008-09-16 13:51:01.553 UTC,2018-07-26 18:15:51.577 UTC,United States,9545,250,10,433,,http://codechaos.me/
13635,Roskoto,,,2008-09-16 20:17:46.740 UTC,2019-08-28 14:30:46.720 UTC,,889,154,17,88,,
13713,Joel,"I'm primarily a C# and Java developer. I also know Objective-C and have done some work with the iPhone SDK. I know some PHP, ASP.net, C++, and dabbled in some other languages.",,2008-09-16 20:35:30.270 UTC,2019-08-30 16:56:26.770 UTC,Utah,11448,867,16,1633,,http://blog.joelj.com
14074,smvlad,,,2008-09-16 21:54:00.253 UTC,2019-08-29 20:32:04.897 UTC,,243,110,1,83,,
15079,Jim In Texas,,,2008-09-17 05:46:30.197 UTC,2019-08-09 01:41:41.800 UTC,United States,991,368,40,365,,
17453,mlambie,"<p>I like Brazilian jiu jitsu, Xbox, coffee, Lego, comics, knitting, cycling, helicopters, skateboarding and skydiving.</p>",,2008-09-18 09:26:03.840 UTC,2019-08-31 04:22:28.610 UTC,Singapore,5631,182,11,312,https://i.stack.imgur.com/FfhA9.jpg,http://lambie.org
18456,Craig Quillen,"Pretty good .Net developer that was raised on C, C++, and Java",,2008-09-19 02:13:33.513 UTC,2019-08-26 21:37:33.230 UTC,United States,1217,17,0,129,,
18695,user18695,,,2008-09-19 09:42:20.500 UTC,2009-08-12 06:04:40.750 UTC,United States,215,1,0,31,,
19392,Micke,,,2008-09-19 23:25:24.913 UTC,2019-08-29 16:37:04.820 UTC,,1542,138,8,86,,
19502,David Leonard,"<p>Unix. From VMS's DCL to Haskell, it's all good, but C still wins.</p>",,2008-09-20 05:39:01.880 UTC,2017-05-27 02:05:10.760 UTC,"Brisbane, Australia",1586,22,1,173,,http://adaptive-enterprises.com.au/~d/
20300,ken,,,2008-09-22 08:49:14.213 UTC,2019-08-13 14:49:26.137 UTC,"Taguig, Philippines",1903,31,0,174,,http://mumbhaki.x10hosting.com
20472,assortedslog,,,2008-09-22 14:22:55.083 UTC,2017-10-17 14:16:17.307 UTC,,121,14,0,20,,
21244,Pretzel,"<p>Pretzel is a bit Twisted and sometimes a little Salty; He always goes great with beer!</p>

<p><strong>Quote of the Moment:</strong> </p>

<p><em>Physicists stand on each others’ shoulders while computer scientists stand on each others' toes.</em>  </p>

<p>(Sad, but often true.)</p>",,2008-09-23 16:53:03.950 UTC,2019-08-29 19:03:14.440 UTC,"Pretzeltown, USA",4255,894,41,637,,https://pretzellogix.net
23008,Mike Sutton,,,2008-09-27 16:13:51.410 UTC,2018-06-29 12:41:15.747 UTC,"Southampton, United Kingdom",3448,145,10,426,,http://solentsoftware.com
23060,Rob Allen,"<p>Author of a popular <a href=""http://akrabat.com/zend-framework-2-tutorial"" rel=""nofollow noreferrer"">Zend Framework Tutorial</a> (<a href=""http://akrabat.com/zend-framework-2-tutorial/"" rel=""nofollow noreferrer"">ZF2 version</a>) &amp; the book Zend Framework in Action. Also a member of the <a href=""https://github.com/slimphp/Slim"" rel=""nofollow noreferrer"">Slim framework</a> development team.</p>

<p>Can be found on IRC (Freenode) or Twitter under the username akrabat.</p>",,2008-09-27 20:56:40.310 UTC,2019-08-31 15:34:37.217 UTC,United Kingdom,11857,115,27,2103,,http://akrabat.com
23935,gfrizzle,"<p>C#, VB, ASP.NET, MVC, LINQ, HTML, jQuery, CSS, WCF, etc.</p>

<p>I know PowerBuilder too, but with luck I'll never have to go back...</p>

<p>#SOreadytohelp</p>",,2008-09-30 20:52:31.917 UTC,2019-04-22 15:27:41.107 UTC,"Scarborough, ME",6641,197,2,608,,http://gplus.to/gfrizzle
24520,Mark Zeren,,,2008-10-02 14:53:23.823 UTC,2013-04-01 17:17:26.550 UTC,,38,34,0,107,,
25163,AnonJr,"<p>I am an IT ""Jack of all Trades"" with experience in graphics design, web programming, and server administration. I've even done some photography and acquired a wide assortment of other skills.</p>

<p>Unfortunately, the majority of my projects and writing are tied up behind my current job's firewall.</p>

<p>One of my public side projects has been working with a local Christian Rock group - <a href=""http://jesusjoshua2415.com/"" rel=""nofollow noreferrer"">Jesus Joshua 24:15</a>. I've been their photographer and webmaster, having built their website as a class project and growing it to their current site. Additionally, I've been their roadie, studio technician, and helped upgrade their recording studio.</p>

<p>I'm not as actively active on any Stack Exchange these days... too many irons in the fire.</p>

<p>I can be found over at my sparsely populated <a href=""http://blog.anonjr.com/"" rel=""nofollow noreferrer"">personal blog</a> from time to time and by my <a href=""http://twitter.com/AnonJr"" rel=""nofollow noreferrer"">Twitter account</a>. For the morbidly curious, there's more about me and my projects over at <a href=""http://www.waywardsondevelopers.com/"" rel=""nofollow noreferrer"">Wayward Son Developers</a> and on my <a href=""https://careers.stackoverflow.com/anonjr"">Careers.SO CV</a>.</p>",,2008-10-04 19:15:30.007 UTC,2019-08-31 12:16:07.427 UTC,North Carolina,2518,656,38,505,,https://www.anonjr.com/
25216,Andrew Shepherd,"<p>Started my first job as a full-time developer in 1996. Spent 11 years coding solely in C++.</p>

<p>Then moved on to C#, then got a job where everyone is coding in Matlab, then took over a digital signage solution, and have been doing that since 2011.</p>

<p>Now, on any given day I code in C#, Powershell, Javascript, Typescript, Java and Transact SQL, writing applications for Chrome, Android or Windows devices and the web which isn't really a device.</p>

<p>In my wayward youth before taking on programming I went and got a music degree.</p>",,2008-10-05 03:26:00.937 UTC,2019-09-01 02:08:49.380 UTC,"Gold Coast, Queensland, Australia",32815,1707,74,3501,https://i.stack.imgur.com/WurYy.jpg?s=128&g=1,
